"","X","a","b","height","total_seg","hit.vp","under","over","area","hitrate","underrate","overrate","Seg_qualy","MIN","chm"
"149",149,0.05,0.09,5.5,39,"13 / 15",1,25,510.3125,0.866666666666667,0.0256410256410256,0.641025641025641,"0.87 @ 0.35",0.1,"chm_1_3"
"150",150,0.05,0.1,5.5,39,"13 / 15",1,25,510.3125,0.866666666666667,0.0256410256410256,0.641025641025641,"0.87 @ 0.35",0.1,"chm_1_3"
"151",151,0.06,0.05,5.5,29,"11 / 15",2,16,510.390625,0.733333333333333,0.0689655172413793,0.551724137931034,"0.73 @ 0.34",0.1,"chm_1_3"
"152",152,0.06,0.06,5.5,29,"11 / 15",2,16,510.390625,0.733333333333333,0.0689655172413793,0.551724137931034,"0.73 @ 0.34",0.1,"chm_1_3"
"153",153,0.06,0.07,5.5,29,"11 / 15",2,16,510.390625,0.733333333333333,0.0689655172413793,0.551724137931034,"0.73 @ 0.34",0.1,"chm_1_3"
"154",154,0.06,0.08,5.5,28,"11 / 15",2,15,510.40625,0.733333333333333,0.0714285714285714,0.535714285714286,"0.73 @ 0.34",0.1,"chm_1_3"
"155",155,0.06,0.09,5.5,28,"11 / 15",2,15,510.40625,0.733333333333333,0.0714285714285714,0.535714285714286,"0.73 @ 0.34",0.1,"chm_1_3"
"156",156,0.06,0.1,5.5,27,"11 / 15",2,14,510.40625,0.733333333333333,0.0740740740740741,0.518518518518518,"0.73 @ 0.33",0.1,"chm_1_3"
"157",157,0.07,0.05,5.5,21,"11 / 15",2,8,510.46875,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"chm_1_3"
"158",158,0.07,0.06,5.5,21,"11 / 15",2,8,510.46875,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"chm_1_3"
"159",159,0.07,0.07,5.5,20,"11 / 15",2,7,510.46875,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"chm_1_3"
"160",160,0.07,0.08,5.5,20,"11 / 15",2,7,510.46875,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"chm_1_3"
"161",161,0.07,0.09,5.5,20,"11 / 15",2,7,510.46875,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"chm_1_3"
"162",162,0.07,0.1,5.5,19,"11 / 15",2,6,510.46875,0.733333333333333,0.105263157894737,0.315789473684211,"0.73 @ 0.26",0.1,"chm_1_3"
"163",163,0.08,0.05,5.5,15,"9 / 15",3,3,510.59375,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"164",164,0.08,0.06,5.5,15,"9 / 15",3,3,510.59375,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
