"","a","b","height","total_seg","hit/vp","under","over","area","hitrate","underrate","overrate","Seg_qualy","MIN","chm"
"534",0.04,0.04,6,61,"13 / 15",1,47,498.6875,0.866666666666667,0.0163934426229508,0.770491803278688,"0.87 @ 0.4",0.1,"CHM_1_3"
"535",0.04,0.05,6,60,"13 / 15",1,46,498.6875,0.866666666666667,0.0166666666666667,0.766666666666667,"0.87 @ 0.4",0.1,"CHM_1_3"
"536",0.04,0.06,6,58,"13 / 15",1,44,498.703125,0.866666666666667,0.0172413793103448,0.758620689655172,"0.87 @ 0.4",0.1,"CHM_1_3"
"537",0.04,0.07,6,58,"13 / 15",1,44,498.703125,0.866666666666667,0.0172413793103448,0.758620689655172,"0.87 @ 0.4",0.1,"CHM_1_3"
"538",0.04,0.08,6,55,"13 / 15",1,41,498.765625,0.866666666666667,0.0181818181818182,0.745454545454545,"0.87 @ 0.39",0.1,"CHM_1_3"
"539",0.04,0.09,6,55,"13 / 15",1,41,498.765625,0.866666666666667,0.0181818181818182,0.745454545454545,"0.87 @ 0.39",0.1,"CHM_1_3"
"540",0.04,0.1,6,54,"13 / 15",1,40,498.78125,0.866666666666667,0.0185185185185185,0.740740740740741,"0.87 @ 0.39",0.1,"CHM_1_3"
"541",0.05,0.01,6,46,"13 / 15",1,32,498.9375,0.866666666666667,0.0217391304347826,0.695652173913043,"0.87 @ 0.37",0.1,"CHM_1_3"
"542",0.05,0.02,6,45,"13 / 15",1,31,498.953125,0.866666666666667,0.0222222222222222,0.688888888888889,"0.87 @ 0.37",0.1,"CHM_1_3"
"543",0.05,0.03,6,44,"13 / 15",1,30,499.03125,0.866666666666667,0.0227272727272727,0.681818181818182,"0.87 @ 0.36",0.1,"CHM_1_3"
"544",0.05,0.04,6,42,"13 / 15",1,28,499.0625,0.866666666666667,0.0238095238095238,0.666666666666667,"0.87 @ 0.36",0.1,"CHM_1_3"
"545",0.05,0.05,6,42,"13 / 15",1,28,499.0625,0.866666666666667,0.0238095238095238,0.666666666666667,"0.87 @ 0.36",0.1,"CHM_1_3"
"546",0.05,0.06,6,41,"13 / 15",1,27,499.03125,0.866666666666667,0.024390243902439,0.658536585365854,"0.87 @ 0.35",0.1,"CHM_1_3"
"547",0.05,0.07,6,38,"13 / 15",1,24,499.03125,0.866666666666667,0.0263157894736842,0.631578947368421,"0.87 @ 0.34",0.1,"CHM_1_3"
"548",0.05,0.08,6,37,"13 / 15",1,23,499.03125,0.866666666666667,0.027027027027027,0.621621621621622,"0.87 @ 0.34",0.1,"CHM_1_3"
"549",0.05,0.09,6,37,"13 / 15",1,23,499.03125,0.866666666666667,0.027027027027027,0.621621621621622,"0.87 @ 0.34",0.1,"CHM_1_3"
"550",0.05,0.1,6,37,"13 / 15",1,23,499.03125,0.866666666666667,0.027027027027027,0.621621621621622,"0.87 @ 0.34",0.1,"CHM_1_3"
"551",0.06,0.01,6,29,"11 / 15",2,16,499.125,0.733333333333333,0.0689655172413793,0.551724137931034,"0.73 @ 0.34",0.1,"CHM_1_3"
"552",0.06,0.02,6,27,"11 / 15",2,14,499.15625,0.733333333333333,0.0740740740740741,0.518518518518518,"0.73 @ 0.33",0.1,"CHM_1_3"
"553",0.06,0.03,6,27,"11 / 15",2,14,499.15625,0.733333333333333,0.0740740740740741,0.518518518518518,"0.73 @ 0.33",0.1,"CHM_1_3"
"554",0.06,0.04,6,27,"11 / 15",2,14,499.15625,0.733333333333333,0.0740740740740741,0.518518518518518,"0.73 @ 0.33",0.1,"CHM_1_3"
"555",0.06,0.05,6,27,"11 / 15",2,14,499.15625,0.733333333333333,0.0740740740740741,0.518518518518518,"0.73 @ 0.33",0.1,"CHM_1_3"
"556",0.06,0.06,6,27,"11 / 15",2,14,499.15625,0.733333333333333,0.0740740740740741,0.518518518518518,"0.73 @ 0.33",0.1,"CHM_1_3"
"557",0.06,0.07,6,27,"11 / 15",2,14,499.15625,0.733333333333333,0.0740740740740741,0.518518518518518,"0.73 @ 0.33",0.1,"CHM_1_3"
"558",0.06,0.08,6,26,"11 / 15",2,13,499.140625,0.733333333333333,0.0769230769230769,0.5,"0.73 @ 0.33",0.1,"CHM_1_3"
"559",0.06,0.09,6,26,"11 / 15",2,13,499.140625,0.733333333333333,0.0769230769230769,0.5,"0.73 @ 0.33",0.1,"CHM_1_3"
"560",0.06,0.1,6,26,"11 / 15",2,13,499.140625,0.733333333333333,0.0769230769230769,0.5,"0.73 @ 0.33",0.1,"CHM_1_3"
"561",0.07,0.01,6,21,"11 / 15",2,8,499.203125,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"CHM_1_3"
"562",0.07,0.02,6,21,"11 / 15",2,8,499.203125,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"CHM_1_3"
"563",0.07,0.03,6,21,"11 / 15",2,8,499.203125,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"CHM_1_3"
"564",0.07,0.04,6,21,"11 / 15",2,8,499.203125,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"CHM_1_3"
"565",0.07,0.05,6,21,"11 / 15",2,8,499.203125,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"CHM_1_3"
"566",0.07,0.06,6,21,"11 / 15",2,8,499.203125,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"CHM_1_3"
"567",0.07,0.07,6,20,"11 / 15",2,7,499.203125,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"CHM_1_3"
"568",0.07,0.08,6,20,"11 / 15",2,7,499.203125,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"CHM_1_3"
"569",0.07,0.09,6,20,"11 / 15",2,7,499.203125,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"CHM_1_3"
"570",0.07,0.1,6,19,"11 / 15",2,6,499.203125,0.733333333333333,0.105263157894737,0.315789473684211,"0.73 @ 0.26",0.1,"CHM_1_3"
