"","a","b","height","total_seg","hit/vp","under","over","area","hitrate","underrate","overrate","Seg_qualy","MIN","chm"
"85",0.02,0.05,5,178,"12 / 12",0,166,345.296875,1,0,0.932584269662921,"1 @ 0.47",0.1,"CHM_4_3"
"86",0.03,0.01,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"87",0.03,0.02,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"88",0.03,0.03,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"89",0.03,0.04,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"90",0.03,0.05,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"91",0.04,0.01,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"92",0.04,0.02,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"93",0.04,0.03,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"94",0.04,0.04,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"95",0.04,0.05,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"96",0.05,0.01,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"97",0.05,0.02,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"98",0.05,0.03,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"99",0.05,0.04,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"100",0.05,0.05,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
